Variable,N,Mean,Std,Min,P25,Median,P75,Max
P/E premium (Y principal),538,29.2768,100.7229,-20.5909,-5.761,2.6145,20.7048,577.7709
P/E premium avg (robustesse),600,25.5811,426.1722,-5806.2092,-9.0279,0.0,13.2302,4061.3001
Spec/Oper ratio,601,0.4375,0.1272,0.0588,0.3333,0.5,0.5,0.8889
N phrases AI,601,1.193,2.2911,0.0,0.0,0.0,1.0,25.0
AI density (/1000 mots),601,0.1606,0.3879,0.0,0.0,0.0503,0.1729,4.1107
Specificity score,601,0.0021,0.0348,0.0,0.0,0.0,0.0,0.7662
Topic: Opportunity,601,0.0433,0.1072,0.0,0.0,0.0,0.0367,0.9242
Topic: Adoption,601,0.0579,0.1687,0.0,0.0,0.0,0.0,2.1943
Topic: Labor-saving,601,0.0275,0.0811,0.0,0.0,0.0,0.0,0.9974
Topic: R&D/Investment,601,0.0582,0.2036,0.0,0.0,0.0,0.0,2.0565
Log(Revenue),601,23.1414,1.2915,17.6867,22.1716,23.1533,24.0256,26.5813
Log(Market Cap),601,24.4905,1.6089,0.0,23.6635,24.4196,25.2917,28.828
Operating Margin (%),559,13.3251,53.641,-1137.5,7.7968,16.1427,24.5206,74.9662
R&D Intensity (%),601,12.1164,47.8769,0.0,0.0,6.2913,16.0908,1033.3333
Revenue Growth (%),521,25.0365,280.3352,-64.2172,2.1871,8.6828,17.9561,6372.9927
