Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9
Variable;M1;M2;M3;M4;R1;R2;R3;R4
Spec/Oper ratio (??);-25.696 (53.679);11.823 (41.850);—;—;-1.667 (97.192);22.049 (154.459);—;—
Spec/Oper × post2022 (??);—;-68.981 (48.344);—;—;—;-44.269 (232.499);—;—
Opportunity;—;—;55.954* (29.269);-41.031 (84.527);—;—;71.494 (87.171);-113.770 (250.171)
Adoption;—;—;-64.175** (26.593);-68.060* (39.199);—;—;-42.444 (82.784);-3.175 (170.663)
Labor-saving;—;—;3.530 (50.955);117.932 (101.403);—;—;-106.037 (139.923);149.517 (325.855)
R&D/Investment;—;—;96.870*** (25.171);92.381** (41.027);—;—;68.131 (56.923);56.121 (103.563)
Opportunity × post2022;—;—;—;127.015 (106.614);—;—;—;242.521 (330.695)
Adoption × post2022;—;—;—;4.081 (42.572);—;—;—;-42.218 (152.326)
Labor-saving × post2022;—;—;—;-115.231 (89.795);—;—;—;-263.364 (356.800)
R&D/Investment × post2022;—;—;—;-3.337 (36.390);—;—;—;-0.388 (113.200)
Log(Revenue);-37.966 (47.927);-39.725 (48.546);-45.097 (48.628);-47.773 (50.888);23.716 (152.707);21.757 (161.210);24.684 (157.328);20.450 (171.014)
Log(Market Cap);35.433** (16.619);35.769** (16.600);29.883* (16.318);27.294 (16.741);-13.674 (65.372);-13.080 (65.627);-15.751 (65.696);-18.532 (68.340)
Operating Margin (%);-5.625*** (1.639);-5.563*** (1.621);-5.475*** (1.604);-5.432*** (1.618);0.380 (0.660);0.377 (0.665);0.441 (0.658);0.457 (0.678)
R&D Intensity (%);-5.037 (4.270);-5.096 (4.222);-5.775 (4.467);-6.185 (4.435);0.505 (1.239);0.489 (1.300);0.579 (1.250);0.568 (1.320)
Revenue Growth (%);0.017*** (0.005);0.017*** (0.005);0.016*** (0.005);0.015*** (0.005);-0.002 (0.018);-0.003 (0.016);-0.002 (0.018);-0.001 (0.019)
Y;pe_premium;pe_premium;pe_premium;pe_premium;pe_premium_avg;pe_premium_avg;pe_premium_avg;pe_premium_avg
N;433;433;433;433;484;484;484;484
Firmes;82.0;82.0;82.0;82.0;82.0;82.0;82.0;82.0
R²;0.1093;0.1131;0.1366;0.1430;0.0003;0.0004;0.0013;0.0020
R²-within;0.1096;0.0808;0.1331;0.1373;0.0006;-0.0000;0.0017;0.0023
Firm FE;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Year FE;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
SE;Robust HC;Robust HC;Robust HC;Robust HC;Robust HC;Robust HC;Robust HC;Robust HC
