ticker,name,sector,sub_industry,group,fiscal_year,filing_date,accession_number,extraction_method,data_quality,mda_word_count,ai_keyword_hits,ai_density_per1k,speculative_hits,speculative_score,operational_hits,operational_score,spec_vs_oper_ratio,ai_density_2023,status
MMM,3M,Industrials,Industrial Conglomerates,control,2018,2019-02-07,0001558370-19-000470,tenk_management_discussion,HIGH,17382.0,2.0,0.1151,1.0,0.0575,0.0,0.0,2.0,0.0153,ok
MMM,3M,Industrials,Industrial Conglomerates,control,2019,2020-02-06,0001558370-20-000581,tenk_management_discussion,HIGH,16726.0,1.0,0.0598,0.0,0.0,0.0,0.0,0.0,0.0153,ok
MMM,3M,Industrials,Industrial Conglomerates,control,2020,2021-02-04,0001558370-21-000737,tenk_management_discussion,HIGH,17059.0,2.0,0.1172,0.0,0.0,0.0,0.0,0.0,0.0153,ok
MMM,3M,Industrials,Industrial Conglomerates,control,2021,2022-02-09,0000066740-22-000010,tenk_management_discussion,HIGH,4684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0153,ok
MMM,3M,Industrials,Industrial Conglomerates,control,2022,2023-02-08,0000066740-23-000014,tenk_management_discussion,HIGH,1954.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0153,ok
MMM,3M,Industrials,Industrial Conglomerates,control,2023,2024-02-07,0000066740-24-000016,tenk_management_discussion,HIGH,11688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0153,ok
MMM,3M,Industrials,Industrial Conglomerates,control,2024,2025-02-05,0000066740-25-000006,tenk_management_discussion,HIGH,11391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0153,ok
ACN,Accenture,Information Technology,IT Consulting & Other Services,treatment,2018,2018-10-24,0001467373-18-000318,tenk_management_discussion,HIGH,8684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9752,ok
ACN,Accenture,Information Technology,IT Consulting & Other Services,treatment,2019,2019-10-29,0001467373-19-000339,tenk_management_discussion,HIGH,6992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9752,ok
ACN,Accenture,Information Technology,IT Consulting & Other Services,treatment,2020,2020-10-22,0001467373-20-000376,tenk_management_discussion,HIGH,6232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9752,ok
ACN,Accenture,Information Technology,IT Consulting & Other Services,treatment,2021,2021-10-15,0001467373-21-000229,tenk_management_discussion,HIGH,5568.0,1.0,0.1796,0.0,0.0,0.0,0.0,0.0,0.9752,ok
ACN,Accenture,Information Technology,IT Consulting & Other Services,treatment,2022,2022-10-12,0001467373-22-000295,tenk_management_discussion,HIGH,5783.0,1.0,0.1729,0.0,0.0,0.0,0.0,0.0,0.9752,ok
ACN,Accenture,Information Technology,IT Consulting & Other Services,treatment,2023,2023-10-12,0001467373-23-000324,tenk_management_discussion,HIGH,6324.0,1.0,0.1581,0.0,0.0,0.0,0.0,0.0,0.9752,ok
ACN,Accenture,Information Technology,IT Consulting & Other Services,treatment,2024,2024-10-10,0001467373-24-000278,tenk_management_discussion,HIGH,6385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9752,ok
ADBE,Adobe Inc.,Information Technology,Application Software,treatment,2018,2019-01-25,0000796343-19-000019,tenk_management_discussion,HIGH,9141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3132,ok
ADBE,Adobe Inc.,Information Technology,Application Software,treatment,2019,2020-01-21,0000796343-20-000013,tenk_management_discussion,HIGH,8358.0,5.0,0.5982,0.0,0.0,0.0,0.0,0.0,1.3132,ok
ADBE,Adobe Inc.,Information Technology,Application Software,treatment,2020,2021-01-15,0000796343-21-000004,tenk_management_discussion,HIGH,8573.0,5.0,0.5832,0.0,0.0,0.0,0.0,0.0,1.3132,ok
ADBE,Adobe Inc.,Information Technology,Application Software,treatment,2021,2022-01-21,0000796343-22-000032,tenk_management_discussion,HIGH,7457.0,6.0,0.8046,0.0,0.0,1.0,0.1341,0.0,1.3132,ok
ADBE,Adobe Inc.,Information Technology,Application Software,treatment,2022,2023-01-17,0000796343-23-000007,tenk_management_discussion,HIGH,7327.0,6.0,0.8189,0.0,0.0,1.0,0.1365,0.0,1.3132,ok
ADBE,Adobe Inc.,Information Technology,Application Software,treatment,2023,2024-01-17,0000796343-24-000006,tenk_management_discussion,HIGH,6705.0,9.0,1.3423,0.0,0.0,4.0,0.5966,0.0,1.3132,ok
ADBE,Adobe Inc.,Information Technology,Application Software,treatment,2024,2025-01-13,0000796343-25-000004,tenk_management_discussion,HIGH,6594.0,15.0,2.2748,0.0,0.0,6.0,0.9099,0.0,1.3132,ok
AMD,Advanced Micro Devices,Information Technology,Semiconductors,middle,2018,2019-02-08,0000002488-19-000011,tenk_management_discussion,HIGH,6337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3053,ok
AMD,Advanced Micro Devices,Information Technology,Semiconductors,middle,2019,2020-02-04,0000002488-20-000008,tenk_management_discussion,HIGH,3881.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3053,ok
AMD,Advanced Micro Devices,Information Technology,Semiconductors,middle,2020,2021-01-29,0001628280-21-001185,tenk_management_discussion,HIGH,5059.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3053,ok
AMD,Advanced Micro Devices,Information Technology,Semiconductors,middle,2021,2022-02-03,0000002488-22-000016,tenk_management_discussion,HIGH,4436.0,3.0,0.6763,0.0,0.0,0.0,0.0,0.0,0.3053,ok
AMD,Advanced Micro Devices,Information Technology,Semiconductors,middle,2022,2023-02-27,0000002488-23-000047,tenk_management_discussion,HIGH,5943.0,4.0,0.6731,3.0,0.5048,0.0,0.0,2.0,0.3053,ok
AMD,Advanced Micro Devices,Information Technology,Semiconductors,middle,2023,2024-01-31,0000002488-24-000012,tenk_management_discussion,HIGH,5044.0,5.0,0.9913,2.0,0.3965,2.0,0.3965,1.0,0.3053,ok
AMD,Advanced Micro Devices,Information Technology,Semiconductors,middle,2024,2025-02-05,0000002488-25-000012,tenk_management_discussion,HIGH,4694.0,6.0,1.2782,4.0,0.8522,3.0,0.6391,1.3333,0.3053,ok
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,middle,2018,2018-12-20,0001090872-18-000019,tenk_management_discussion,HIGH,13319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0627,ok
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,middle,2019,2019-12-19,0001090872-19-000022,tenk_management_discussion,HIGH,14081.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0627,ok
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,middle,2020,2020-12-18,0001090872-20-000020,tenk_management_discussion,HIGH,14577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0627,ok
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,middle,2021,2021-12-17,0001090872-21-000027,tenk_management_discussion,HIGH,14799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0627,ok
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,middle,2022,2022-12-21,0001090872-22-000026,tenk_management_discussion,HIGH,13982.0,1.0,0.0715,0.0,0.0,0.0,0.0,0.0,0.0627,ok
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,middle,2023,2023-12-20,0001090872-23-000020,tenk_management_discussion,HIGH,14284.0,1.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0627,ok
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,middle,2024,2024-12-20,0001090872-24-000049,tenk_management_discussion,HIGH,14935.0,1.0,0.067,0.0,0.0,0.0,0.0,0.0,0.0627,ok
ALGN,Align Technology,Health Care,Health Care Supplies,treatment,2018,2019-02-28,0001097149-19-000009,tenk_management_discussion,HIGH,9612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1088,ok
ALGN,Align Technology,Health Care,Health Care Supplies,treatment,2019,2020-02-28,0001097149-20-000008,tenk_management_discussion,HIGH,8195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1088,ok
ALGN,Align Technology,Health Care,Health Care Supplies,treatment,2020,2021-02-26,0001097149-21-000007,tenk_management_discussion,HIGH,9340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1088,ok
ALGN,Align Technology,Health Care,Health Care Supplies,treatment,2021,2022-02-25,0001097149-22-000011,tenk_management_discussion,HIGH,5974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1088,ok
ALGN,Align Technology,Health Care,Health Care Supplies,treatment,2022,2023-02-27,0001097149-23-000013,tenk_management_discussion,HIGH,6358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1088,ok
ALGN,Align Technology,Health Care,Health Care Supplies,treatment,2023,2024-02-28,0001097149-24-000011,tenk_management_discussion,HIGH,6270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1088,ok
ALGN,Align Technology,Health Care,Health Care Supplies,treatment,2024,2025-02-28,0001097149-25-000012,tenk_management_discussion,HIGH,6562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1088,ok
ALLE,Allegion,Industrials,Building Products,middle,2018,2019-02-19,0001579241-19-000006,tenk_management_discussion,HIGH,8721.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416,ok
ALLE,Allegion,Industrials,Building Products,middle,2019,2020-02-18,0001579241-20-000013,tenk_management_discussion,HIGH,8240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416,ok
ALLE,Allegion,Industrials,Building Products,middle,2020,2021-02-16,0001579241-21-000020,tenk_management_discussion,HIGH,8774.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416,ok
ALLE,Allegion,Industrials,Building Products,middle,2021,2022-02-15,0001579241-22-000019,tenk_management_discussion,HIGH,8419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416,ok
ALLE,Allegion,Industrials,Building Products,middle,2022,2023-02-22,0001579241-23-000006,tenk_management_discussion,HIGH,7964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416,ok
ALLE,Allegion,Industrials,Building Products,middle,2023,2024-02-20,0001579241-24-000006,tenk_management_discussion,HIGH,7543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416,ok
ALLE,Allegion,Industrials,Building Products,middle,2024,2025-02-18,0001579241-25-000008,tenk_management_discussion,HIGH,7150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416,ok
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,treatment,2018,2019-02-06,0001193125-19-028757,full_text_fallback,LOW,1874.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6213,ok
