ticker,name,sector,sub_industry,ai_density_2023,mda_length,note,rank_desc_in_sector,rank_asc_in_sector,group
NVDA,Nvidia,Information Technology,Semiconductors,2.7129,394445, full_text_fallback,1.0,58.0,treatment
MSFT,Microsoft,Information Technology,Systems Software,2.1371,372583, full_text_fallback,2.0,57.0,treatment
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",1.5142,700906, full_text_fallback,3.0,56.0,treatment
ADBE,Adobe Inc.,Information Technology,Application Software,1.3132,431845, full_text_fallback,4.0,55.0,treatment
INTU,Intuit,Information Technology,Application Software,1.1498,477840, full_text_fallback,5.0,54.0,treatment
INTC,Intel,Information Technology,Semiconductors,1.0556,578733, full_text_fallback,6.0,53.0,treatment
QCOM,Qualcomm,Information Technology,Semiconductors,0.9939,453141, full_text_fallback,7.0,52.0,treatment
ACN,Accenture,Information Technology,IT Consulting & Other Services,0.9752,422235, full_text_fallback,8.0,51.0,treatment
APP,AppLovin,Information Technology,Application Software,0.0135,587956, full_text_fallback,57.0,1.0,control
GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,0.0135,573054, full_text_fallback,58.0,2.0,control
NXPI,NXP Semiconductors,Information Technology,Semiconductors,0.019,425268, full_text_fallback,56.0,3.0,control
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",0.0192,410145, full_text_fallback,55.0,4.0,control
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,0.0396,417841, full_text_fallback,54.0,5.0,control
TRMB,Trimble Inc.,Information Technology,Application Software,0.0451,376925, full_text_fallback,53.0,6.0,control
CDW,CDW Corporation,Information Technology,Technology Distributors,0.0489,356799, full_text_fallback,52.0,7.0,control
IT,Gartner,Information Technology,IT Consulting & Other Services,0.0502,347008, full_text_fallback,51.0,8.0,control
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,0.6213,412477, full_text_fallback,1.0,11.0,treatment
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,0.6213,412477, full_text_fallback,2.0,12.0,treatment
META,Meta Platforms,Communication Services,Interactive Media & Services,0.467,530025, full_text_fallback,3.0,10.0,treatment
NWSA,News Corp (Class A),Communication Services,Publishing,0.3891,595501, full_text_fallback,4.0,8.0,treatment
NWS,News Corp (Class B),Communication Services,Publishing,0.3891,595501, full_text_fallback,5.0,9.0,treatment
VZ,Verizon,Communication Services,Integrated Telecommunication Services,0.0157,572131, full_text_fallback,12.0,1.0,control
TKO,TKO Group Holdings,Communication Services,Movies & Entertainment,0.0206,739657,used 2024 filing full_text_fallback,11.0,2.0,control
FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,0.056,463231, full_text_fallback,9.0,3.0,control
FOX,Fox Corporation (Class B),Communication Services,Broadcasting,0.056,463231, full_text_fallback,10.0,4.0,control
TTD,Trade Desk (The),Communication Services,Advertising,0.0589,393338, full_text_fallback,8.0,5.0,control
V,Visa Inc.,Financials,Transaction & Payment Processing Services,0.4187,479623, full_text_fallback,1.0,28.0,treatment
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,0.381,259580, full_text_fallback,2.0,27.0,treatment
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,0.3177,228242, full_text_fallback,3.0,26.0,treatment
FDS,FactSet,Financials,Financial Exchanges & Data,0.2828,412307, full_text_fallback,4.0,25.0,treatment
KEY,KeyCorp,Financials,Regional Banks,0.0103,927835, full_text_fallback,28.0,1.0,control
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,0.0107,861804, full_text_fallback,27.0,2.0,control
CFG,Citizens Financial Group,Financials,Regional Banks,0.0123,794180, full_text_fallback,26.0,3.0,control
ARES,Ares Management,Financials,Asset Management & Custody Banks,0.0144,1142895, full_text_fallback,25.0,4.0,control
