ticker,name,sector,sub_industry,ai_density_2021,mda_length,note
MMM,3M,Industrials,Industrial Conglomerates,0.0516,634929, full_text_fallback
AOS,A. O. Smith,Industrials,Building Products,0.0,273959, full_text_fallback
ABT,Abbott Laboratories,Health Care,Health Care Equipment,0.0,366848, full_text_fallback
ABBV,AbbVie,Health Care,Biotechnology,0.0,475539, full_text_fallback
ACN,Accenture,Information Technology,IT Consulting & Other Services,0.1563,402166, full_text_fallback
ADBE,Adobe Inc.,Information Technology,Application Software,0.8861,512867, full_text_fallback
AMD,Advanced Micro Devices,Information Technology,Semiconductors,0.2904,405299, full_text_fallback
AFL,Aflac,Financials,Life & Health Insurance,0.0,848532, full_text_fallback
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,0.0453,573632, full_text_fallback
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,0.0,415690, full_text_fallback
ALGN,Align Technology,Health Care,Health Care Supplies,0.0,476715, full_text_fallback
ALLE,Allegion,Industrials,Building Products,0.0,433565, full_text_fallback
ALL,Allstate,Financials,Property & Casualty Insurance,0.0,700292, full_text_fallback
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,0.3545,454669, full_text_fallback
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,0.3545,454669, full_text_fallback
AXP,American Express,Financials,Consumer Finance,0.1344,723363, full_text_fallback
AIG,American International Group,Financials,Multi-line Insurance,0.0,1151573, full_text_fallback
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,0.0,988921, full_text_fallback
AME,Ametek,Industrials,Electrical Components & Equipment,0.0,325075, full_text_fallback
AMGN,Amgen,Health Care,Biotechnology,0.0,670539, full_text_fallback
APH,Amphenol,Information Technology,Electronic Components,0.0,454830, full_text_fallback
ADI,Analog Devices,Information Technology,Semiconductors,0.0,433202, full_text_fallback
AON,Aon plc,Financials,Insurance Brokers,0.0,531317, full_text_fallback
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,0.0,613481,used 2022 filing full_text_fallback
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,,0,no_filing_found
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",0.0,269722, full_text_fallback
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,0.0433,425647, full_text_fallback
APP,AppLovin,Information Technology,Application Software,0.0,594621,used 2022 filing full_text_fallback
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,0.0,988338, full_text_fallback
ARES,Ares Management,Financials,Asset Management & Custody Banks,0.0241,1028584, full_text_fallback
ANET,Arista Networks,Information Technology,Communications Equipment,0.2016,488468, full_text_fallback
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,0.0,366285, full_text_fallback
AIZ,Assurant,Financials,Multi-line Insurance,0.0,878588, full_text_fallback
T,AT&T,Communication Services,Integrated Telecommunication Services,0.0,613608, full_text_fallback
ADSK,Autodesk,Information Technology,Application Software,0.3245,502280, full_text_fallback
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,0.2335,359709, full_text_fallback
AXON,Axon Enterprise,Industrials,Aerospace & Defense,0.1037,389417, full_text_fallback
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,0.5402,415588, full_text_fallback
BAC,Bank of America,Financials,Diversified Banks,0.0657,664501, full_text_fallback
BAX,Baxter International,Health Care,Health Care Equipment,0.0,472119, full_text_fallback
BDX,Becton Dickinson,Health Care,Health Care Equipment,0.0,436877, full_text_fallback
