ticker,name,sector,sub_industry,ai_density_2023,mda_length,note,rank_desc_in_sector,rank_asc_in_sector,group
MMM,3M,Industrials,Industrial Conglomerates,0.0153,605934, full_text_fallback,26.0,3.0,middle
ACN,Accenture,Information Technology,IT Consulting & Other Services,0.9752,422235, full_text_fallback,8.0,51.0,middle
ADBE,Adobe Inc.,Information Technology,Application Software,1.3132,431845, full_text_fallback,4.0,55.0,middle
AMD,Advanced Micro Devices,Information Technology,Semiconductors,0.3053,442897, full_text_fallback,24.0,35.0,middle
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,0.0627,571275, full_text_fallback,9.0,13.0,middle
ALGN,Align Technology,Health Care,Health Care Supplies,0.1088,460677, full_text_fallback,6.0,16.0,middle
ALLE,Allegion,Industrials,Building Products,0.0416,415721, full_text_fallback,14.0,15.0,middle
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,0.6213,412477, full_text_fallback,1.0,11.0,middle
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,0.6213,412477, full_text_fallback,2.0,12.0,middle
AXP,American Express,Financials,Consumer Finance,0.1228,693951, full_text_fallback,8.0,21.0,middle
ADI,Analog Devices,Information Technology,Semiconductors,0.0575,419363, full_text_fallback,50.0,9.0,middle
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",0.0703,252774, full_text_fallback,47.0,12.0,middle
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,0.2276,411273, full_text_fallback,31.0,28.0,middle
APP,AppLovin,Information Technology,Application Software,0.0135,587956, full_text_fallback,57.0,1.0,middle
ARES,Ares Management,Financials,Asset Management & Custody Banks,0.0144,1142895, full_text_fallback,25.0,4.0,middle
ANET,Arista Networks,Information Technology,Communications Equipment,0.2796,479362, full_text_fallback,26.0,33.0,middle
ADSK,Autodesk,Information Technology,Application Software,0.2623,511907, full_text_fallback,28.0,31.0,middle
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,1.1123,362426, full_text_fallback,1.0,28.0,middle
AXON,Axon Enterprise,Industrials,Aerospace & Defense,0.018,448335, full_text_fallback,23.0,6.0,middle
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,0.384,421869, full_text_fallback,1.0,4.0,middle
BAC,Bank of America,Financials,Diversified Banks,0.068,639475, full_text_fallback,11.0,18.0,middle
BDX,Becton Dickinson,Health Care,Health Care Equipment,0.0192,443321, full_text_fallback,15.0,7.0,middle
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,0.1941,1243330, full_text_fallback,7.0,22.0,middle
XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,0.026,617379, full_text_fallback,20.0,9.0,middle
AVGO,Broadcom,Information Technology,Semiconductors,0.1293,471603, full_text_fallback,44.0,15.0,middle
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,0.0599,429456, full_text_fallback,12.0,17.0,middle
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,0.0278,308791, full_text_fallback,19.0,10.0,middle
CDNS,Cadence Design Systems,Information Technology,Application Software,0.175,429056, full_text_fallback,39.0,20.0,middle
COF,Capital One,Financials,Consumer Finance,0.0295,971858, full_text_fallback,19.0,10.0,middle
CARR,Carrier Global,Industrials,Building Products,0.0372,457720, full_text_fallback,17.0,12.0,middle
CDW,CDW Corporation,Information Technology,Technology Distributors,0.0489,356799, full_text_fallback,52.0,7.0,middle
COR,Cencora,Health Care,Health Care Distributors,0.0584,424039, full_text_fallback,10.0,12.0,middle
CNC,Centene Corporation,Health Care,Managed Health Care,0.0171,511282, full_text_fallback,17.0,5.0,middle
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,0.0158,557212, full_text_fallback,19.0,3.0,middle
CIEN,Ciena,Information Technology,Communications Equipment,0.4467,579645, full_text_fallback,19.0,40.0,middle
CI,Cigna,Health Care,Health Care Services,0.1026,747448, full_text_fallback,7.0,15.0,middle
CSCO,Cisco,Information Technology,Communications Equipment,0.4284,503088, full_text_fallback,20.0,39.0,middle
CFG,Citizens Financial Group,Financials,Regional Banks,0.0123,794180, full_text_fallback,26.0,3.0,middle
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,0.1731,414500, full_text_fallback,40.0,19.0,middle
COHR,Coherent Corp.,Information Technology,Electronic Components,0.2026,478787, full_text_fallback,35.0,24.0,middle
CPRT,Copart,Industrials,Diversified Support Services,0.0229,345323, full_text_fallback,20.0,9.0,middle
CPAY,Corpay,Financials,Transaction & Payment Processing Services,0.0165,495431, full_text_fallback,24.0,5.0,middle
CRWD,CrowdStrike,Information Technology,Systems Software,0.4046,494321, full_text_fallback,21.0,38.0,middle
CVS,CVS Health,Health Care,Health Care Services,0.0177,894728, full_text_fallback,16.0,6.0,middle
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,0.0141,594778, full_text_fallback,20.0,2.0,middle
DDOG,Datadog,Information Technology,Application Software,0.1498,433404, full_text_fallback,43.0,16.0,middle
DVA,DaVita,Health Care,Health Care Services,0.0248,651830, full_text_fallback,14.0,8.0,middle
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,0.0186,524467, full_text_fallback,22.0,7.0,middle
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",0.2826,654907, full_text_fallback,25.0,34.0,middle
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,0.0203,375628, full_text_fallback,4.0,1.0,middle
DXCM,Dexcom,Health Care,Health Care Equipment,0.0124,646376, full_text_fallback,21.0,1.0,middle
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,0.0396,465628, full_text_fallback,15.0,13.0,middle
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,0.0951,340123, full_text_fallback,6.0,7.0,middle
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,0.0396,417841, full_text_fallback,54.0,5.0,middle
EFX,Equifax,Industrials,Research & Consulting Services,0.1732,477521, full_text_fallback,4.0,25.0,middle
FFIV,"F5, Inc.",Information Technology,Communications Equipment,0.6105,357313, full_text_fallback,11.0,48.0,middle
FDS,FactSet,Financials,Financial Exchanges & Data,0.2828,412307, full_text_fallback,4.0,25.0,middle
FICO,Fair Isaac,Information Technology,Application Software,0.549,413319, full_text_fallback,14.0,45.0,middle
FDX,FedEx,Industrials,Air Freight & Logistics,0.0948,551807, full_text_fallback,7.0,22.0,middle
FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,0.0526,463263, full_text_fallback,15.0,14.0,middle
FTNT,Fortinet,Information Technology,Systems Software,0.1911,549169, full_text_fallback,36.0,23.0,middle
FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,0.056,463231, full_text_fallback,9.0,3.0,middle
FOX,Fox Corporation (Class B),Communication Services,Broadcasting,0.056,463231, full_text_fallback,10.0,4.0,middle
IT,Gartner,Information Technology,IT Consulting & Other Services,0.0502,347008, full_text_fallback,51.0,8.0,middle
GE,GE Aerospace,Industrials,Aerospace & Defense,0.0332,546294, full_text_fallback,18.0,11.0,middle
GEHC,GE HealthCare,Health Care,Health Care Equipment,0.3126,618812, full_text_fallback,1.0,21.0,middle
GEN,Gen Digital,Information Technology,Systems Software,0.3195,420961, full_text_fallback,23.0,36.0,middle
GD,General Dynamics,Industrials,Aerospace & Defense,0.1755,338618, full_text_fallback,3.0,26.0,middle
GPN,Global Payments,Financials,Transaction & Payment Processing Services,0.0341,480594, full_text_fallback,17.0,12.0,middle
GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,0.0135,573054, full_text_fallback,58.0,2.0,middle
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,0.029,313414, full_text_fallback,3.0,2.0,middle
HCA,HCA Healthcare,Health Care,Health Care Facilities,0.0277,524274, full_text_fallback,13.0,9.0,middle
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",1.5142,700906, full_text_fallback,3.0,56.0,middle
HON,Honeywell,Industrials,Industrial Conglomerates,0.0396,467026, full_text_fallback,16.0,14.0,middle
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",0.4508,545294, full_text_fallback,18.0,41.0,middle
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,0.0658,487182, full_text_fallback,10.0,19.0,middle
IBM,IBM,Information Technology,IT Consulting & Other Services,0.7297,130469, full_text_fallback,10.0,49.0,middle
INTC,Intel,Information Technology,Semiconductors,1.0556,578733, full_text_fallback,6.0,53.0,middle
INTU,Intuit,Information Technology,Application Software,1.1498,477840, full_text_fallback,5.0,54.0,middle
IQV,IQVIA,Health Care,Life Sciences Tools & Services,0.0159,533743, full_text_fallback,18.0,4.0,middle
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,0.381,259580, full_text_fallback,2.0,27.0,middle
